evaluation_policy,split_strategy,task_family,task_head,folds_combined,seeds,ensemble_seed_count,n,r2,rmse,mae,huber_loss,source_result
random_8_2_3seed,random_8_2,LOEC,LOEC_Morphology,holdout,42;1042;2042,3,17,0.8862139191395123,0.4913914859854389,0.4061939721274397,0.1206243315294911,v1.2.16_random_split_3seed
random_8_2_3seed,random_8_2,LOEC,LOEC_Mortality,holdout,42;1042;2042,3,30,0.7985101993240884,0.8304589767850878,0.6592244824014869,0.3247887962818152,v1.2.16_random_split_3seed
random_8_2_3seed,random_8_2,LOEC,LOEC_Physiology,holdout,42;1042;2042,3,103,0.7952950389016733,0.8148828929623473,0.5754447027109421,0.2794070081283047,v1.2.16_random_split_3seed
random_8_2_3seed,random_8_2,LOEC,LOEC_Population,holdout,42;1042;2042,3,96,0.8568597119613773,0.717861589949795,0.4926212074644304,0.2246282505363332,v1.2.16_random_split_3seed
random_8_2_3seed,random_8_2,LOEC,LOEC_Reproduction,holdout,42;1042;2042,3,133,0.7556696960452589,0.8756538743525717,0.6385642056580741,0.3190545176326359,v1.2.16_random_split_3seed
random_8_2_3seed,random_8_2,NOEC,NOEC_Accumulation,holdout,42;1042;2042,3,12,-0.0799574513090439,0.8878642634051274,0.7020245766059077,0.3358109166485,v1.2.16_random_split_3seed
random_8_2_3seed,random_8_2,NOEC,NOEC_Behavior,holdout,42;1042;2042,3,15,0.519040878284188,1.2199854063134326,1.1029550546827602,0.6436083002788071,v1.2.16_random_split_3seed
random_8_2_3seed,random_8_2,NOEC,NOEC_Biochemical,holdout,42;1042;2042,3,219,0.823414966279788,0.8700700234563081,0.6526585991320166,0.3134538524332904,v1.2.16_random_split_3seed
random_8_2_3seed,random_8_2,NOEC,NOEC_Development,holdout,42;1042;2042,3,44,0.8696144243201768,0.4901576002554788,0.3120781700023757,0.1115092075169199,v1.2.16_random_split_3seed
random_8_2_3seed,random_8_2,NOEC,NOEC_GeneticDamage,holdout,42;1042;2042,3,47,0.6381794770375646,0.8944123839248778,0.6949786524807561,0.3343572855691253,v1.2.16_random_split_3seed
random_8_2_3seed,random_8_2,NOEC,NOEC_Growth,holdout,42;1042;2042,3,453,0.739573524448894,0.9081469910795632,0.6570547611206091,0.3308970297394794,v1.2.16_random_split_3seed
random_8_2_3seed,random_8_2,NOEC,NOEC_Injury,holdout,42;1042;2042,3,9,0.5788016047254366,0.8062605441239193,0.5777140932155804,0.2893790322893719,v1.2.16_random_split_3seed
random_8_2_3seed,random_8_2,NOEC,NOEC_Morphology,holdout,42;1042;2042,3,21,0.8511581473657829,0.6237175337746044,0.5092472942963817,0.1932409338269422,v1.2.16_random_split_3seed
random_8_2_3seed,random_8_2,NOEC,NOEC_Mortality,holdout,42;1042;2042,3,76,0.7999171932143764,0.6386051490136627,0.4404695145730539,0.182050693137557,v1.2.16_random_split_3seed
random_8_2_3seed,random_8_2,NOEC,NOEC_Physiology,holdout,42;1042;2042,3,116,0.7742667665364674,0.859178589082849,0.6273926234940345,0.3133854801871446,v1.2.16_random_split_3seed
random_8_2_3seed,random_8_2,NOEC,NOEC_Population,holdout,42;1042;2042,3,80,0.7172618380371337,1.0773901225901388,0.7061835183706343,0.3950649672610606,v1.2.16_random_split_3seed
random_8_2_3seed,random_8_2,NOEC,NOEC_Reproduction,holdout,42;1042;2042,3,197,0.7091530943716824,0.9099215447130432,0.6083408514313821,0.299668629064665,v1.2.16_random_split_3seed
